,description,header,products,subtitles,time,title,titleUrl,activity_datetime,hour
96,Michael Calfan,Google Play Music,['Google Play Music'],,2019-08-19T15:06:10.871Z,Listened to Treasured Soul (Radio Edit),,2019-08-19 15:06:10.871000+00:00,15
97,Avicii,Google Play Music,['Google Play Music'],,2019-08-19T15:03:13.253Z,Listened to What Would I Change It To (feat. AlunaGeorge),,2019-08-19 15:03:13.253000+00:00,15
98,David Guetta,Google Play Music,['Google Play Music'],,2019-08-19T15:00:07.793Z,Listened to Dangerous (feat. Sam Martin) [Robin Schulz Remix] (Listenin' Continuous Mix),,2019-08-19 15:00:07.793000+00:00,15
99,Jax Jones,Google Play Music,['Google Play Music'],,2019-08-19T14:57:52.330Z,Listened to You Don't Know Me (Acoustic Version) (feat. RAYE),,2019-08-19 14:57:52.330000+00:00,14
100,Jonas Blue,Google Play Music,['Google Play Music'],,2019-08-19T14:57:43.233Z,Skipped By Your Side (Abbey Road Live Version) (feat. RAYE),,2019-08-19 14:57:43.233000+00:00,14
101,Jonas Blue,Google Play Music,['Google Play Music'],,2019-08-19T14:57:43.120Z,Listened to By Your Side (Abbey Road Live Version) (feat. RAYE),,2019-08-19 14:57:43.120000+00:00,14
102,Louis Tomlinson,Google Play Music,['Google Play Music'],,2019-08-19T13:51:50.652Z,Listened to Two of Us (Acoustic),,2019-08-19 13:51:50.652000+00:00,13
103,Sam Smith,Google Play Music,['Google Play Music'],,2019-08-19T13:47:12.864Z,Listened to Dancing With A Stranger (Acoustic),,2019-08-19 13:47:12.864000+00:00,13
104,Dua Lipa,Google Play Music,['Google Play Music'],,2019-08-19T13:43:48.911Z,Listened to Blow Your Mind (Mwah) [Acoustic],,2019-08-19 13:43:48.911000+00:00,13
105,James Arthur,Google Play Music,['Google Play Music'],,2019-08-19T13:41:09.176Z,Listened to Sun Comes Up (Acoustic),,2019-08-19 13:41:09.176000+00:00,13
106,Sigala,Google Play Music,['Google Play Music'],,2019-08-19T13:36:53.583Z,Listened to Wish You Well (Acoustic),,2019-08-19 13:36:53.583000+00:00,13
107,Ed Sheeran,Google Play Music,['Google Play Music'],,2019-08-19T13:33:25.313Z,Listened to Perfect (Acoustic),,2019-08-19 13:33:25.313000+00:00,13
108,Anne-Marie,Google Play Music,['Google Play Music'],,2019-08-19T13:28:47.735Z,Listened to Ciao Adios (Acoustic),,2019-08-19 13:28:47.735000+00:00,13
109,Ed Sheeran,Google Play Music,['Google Play Music'],,2019-08-19T13:24:03.155Z,Listened to Castle on the Hill (Acoustic),,2019-08-19 13:24:03.155000+00:00,13
110,Stormzy,Google Play Music,['Google Play Music'],,2019-08-19T13:20:16.899Z,"Listened to Blinded By Your Grace, Pt. 2 (Acoustic) [feat. Wretch 32 & Aion Clarke]",,2019-08-19 13:20:16.899000+00:00,13
111,Jonas Blue,Google Play Music,['Google Play Music'],,2019-08-19T13:16:32.806Z,Listened to Rise (Acoustic),,2019-08-19 13:16:32.806000+00:00,13
