,Title,Album,Artist,Duration (ms),Rating,Play Count,Removed
0,Algo Bueno (Remastered),Hot House,Dizzy Gillespie,179000,0,2,
0,Aliens Ate My Railway,A Tribute To Transport Tycoon,Knight By Knight,262000,0,1,
0,Alive,THE E.N.D. (THE ENERGY NEVER DIES) (International Deluxe Version),The Black Eyed Peas,303000,0,1,
0,All About Tonight,Now That&#39;s What I Call Music! 80 [Double CD],Pixie Lott,185180,0,8,
0,All Alone,Some Nights (Deluxe),Fun.,183000,0,1,
0,All Along The Watchtower,Electric Ladyland,Jimi Hendrix,248526,0,1,
0,All Along The Watchtower,Experience Hendrix (The Best Of Jimi Hendrix),Jimi Hendrix,238000,0,1,
0,All Alright,Some Nights (Deluxe),Fun.,237000,0,1,
0,All Around the World or the Myth of Fingerprints (Early Version) (early version),Graceland,Paul Simon,197000,0,5,
0,All Around the World or the Myth of Fingerprints,Graceland,Paul Simon,197000,0,10,
0,All At Once,Whitney Houston,Whitney Houston,268000,0,1,
0,All At Sea,Twentysomething,Jamie Cullum,272846,0,2,
0,All At Sea,Twentysomething,Jamie Cullum,272000,0,3,
0,All Eyes On You,Netzwerk,Klangkarussell,501000,0,7,Yes
0,All Fired Up,Now That&#39;s What I Call Music! 80 [Double CD],The Saturdays,192311,0,4,
0,All I Do Is Dream Of You,Crazy Love,Michael Bublé,152000,0,1,
0,All I Got,Hand Built By Robots,Newton Faulkner,200000,0,4,Yes
0,All I Need Is You,Tribute,John Newman,202000,0,2,
0,All I See,Laidback Beats 2015,Bondax,209000,0,13,
0,All I Wanna Do (Remastered),Mind the Gap (20 Years of Hardcore - Expanded Edition) [Remastered],Scooter,262000,0,1,
0,All I Wanna Do,Return of the 90s,Dannii Minogue,266000,0,1,Yes
0,All I Want For Christmas Is You,Christmas (Deluxe Special Edition),Michael Bublé,171000,0,19,
0,All Of Me,Crazy Love,Michael Bublé,187000,0,2,
0,All of Me,Love In The Future (Deluxe Edition),John Legend,269000,0,7,
0,All Of My Life (2016 Remastered),...But Seriously (Deluxe Edition),Phil Collins,335000,0,1,
0,All Shook Up,Elv1s 30 #1 Hits,Elvis Presley,118072,0,2,
0,All the Pretty Little Ponies,The Essential Kenny Loggins,Kenny Loggins,239000,0,1,
0,All the Things You Are (Remastered),Hot House,Dizzy Gillespie,165000,0,1,
0,All Too Well,Red,Taylor Swift,329000,0,8,Yes
0,All You Need Is Love,1967-1970 (1 of 2),The Beatles,229000,0,1,
0,All-American Man,The Essential Johnny Paycheck,Johnny Paycheck,171000,0,1,
0,Alma redemptoris mater,Motets à deux voix,Charpentier,220000,0,4,
0,Almost Heaven,King Baby,Jim Gaffigan,307000,0,2,
0,Almost Like the Blues,Popular Problems,Leonard Cohen,208000,0,1,
0,Alone In the Universe,I Kill People,Jon Lajoie,239000,0,3,
0,Alpha Centauri (Excision and Datsik Remix),This Is The Sound Of Dubstep,Noisia,289000,0,1,
0,Already Gone,The Complete Greatest Hits,Eagles,255000,0,1,
0,Alright (Remastered),Travelling Without Moving (Special Edition),Jamiroquai,263000,0,1,
0,Alright,Travelling Without Moving,Jamiroquai,263938,0,1,
0,Always (Live),Love Songs,Phil Collins,271000,0,1,
0,Always (Mike Shiver Remix),Dave Pearce Trance Anthems 2009,Oceania,261000,0,6,
0,Always Right,Dis Tracks,Anne Reburn,141000,0,1,
0,Always This Way,Semper Femina,Laura Marling,273000,0,1,
0,Always,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe Package),Bon Jovi,353000,0,1,Yes
0,Always,Bon Jovi Greatest Hits,Bon Jovi,353000,0,2,Yes
0,Always,Cross Road,Bon Jovi,353000,0,1,
0,Amazing Grace,Ultimate Classical for Babies,Alice Kirwan,108000,0,2,
0,Amazing Journey,Tommy (Remastered),The Who,304000,0,1,Yes
0,America the Retarded Trust-Fund Kid,Feelin&#39; kinda Patton,Patton Oswalt,54000,0,1,
